grade,subject,chapter,topic,human check
9-10,science,অধ্যায় ৩: হৃদযন্ত্রের যত কথা,রক্ত সংগ্রহলনে কোলেষ্টরলের ভূমিকা,
9-10,science,অধ্যায় ৩: হৃদযন্ত্রের যত কথা,কোলেষ্টরলকে প্রত্যাশিত সীমায় রাখার প্রয়োজনীয়তা,
9-10,science,অধ্যায় ৩: হৃদযন্ত্রের যত কথা,কোলেষ্টরলকে প্রত্যাশিত সীমায় রাখার উপায়,
9-10,science,অধ্যায় ৩: হৃদযন্ত্রের যত কথা,রক্তে সুগারের ভারসাম্যতার কারণ,Can be merged
9-10,science,অধ্যায় ৩: হৃদযন্ত্রের যত কথা,রক্তে সুগারের ভারসাম্যতার প্রতিরোধ,
9-10,science,অধ্যায় ৩: হৃদযন্ত্রের যত কথা,রক্তে সুগারের ভারসাম্যতার প্রতিকার,
9-10,science,অধ্যায় ৩: হৃদযন্ত্রের যত কথা,হৃদযন্ত্রকে ভালো রাখার উপায়,
9-10,science,অধ্যায় ৪: নবজীবনের সূচনা,বয়ঃসন্ধিকাল,Can be merged
9-10,science,অধ্যায় ৪: নবজীবনের সূচনা,বয়ঃসন্ধিকালে শারীরিক পরিবর্তনের কারণ,
9-10,science,অধ্যায় ৪: নবজীবনের সূচনা,বয়ঃসন্ধিকালের মানসিক পরিবর্তন,
9-10,science,অধ্যায় ৪: নবজীবনের সূচনা,বয়ঃসন্ধিকালের আচরণিক পরিবর্তন,
9-10,science,অধ্যায় ৪: নবজীবনের সূচনা,বয়ঃসন্ধিকালে নিজেকে খাপ খা,Error reading: বয়ঃসন্ধিকালে নিজেকে খাপ খাওয়ানোর উপায়
9-10,science,অধ্যায় ৪: নবজীবনের সূচনা,য়ানোর উপায়,
9-10,science,অধ্যায় ৪: নবজীবনের সূচনা,বয়ঃসন্ধিকালে দৈহিক স্বাস্থ্যরক্ষার কৌশল,Can be merged
9-10,science,অধ্যায় ৪: নবজীবনের সূচনা,বয়ঃসন্ধিকালে মানসিক স্বাস্থ্যরক্ষার কৌশল,
9-10,science,অধ্যায় ৪: নবজীবনের সূচনা,বয়ঃসন্ধিকালীন বিবাহে স্বাস্থ্যঝুঁকি,
9-10,science,অধ্যায় ৪: নবজীবনের সূচনা,বয়ঃসন্ধিকালীন বিবাহের প্রভাব,
9-10,science,অধ্যায় ৪: নবজীবনের সূচনা,টেস্টটিউব বেবির ধারণা,
9-10,science,অধ্যায় ৪: নবজীবনের সূচনা,লিঙ্গা নির্ধারণের কৌশল,
9-10,science,অধ্যায় ৪: নবজীবনের সূচনা,জীবনের উৎপত্তি,
9-10,science,অধ্যায় ৪: নবজীবনের সূচনা,জীবজগতে অভিব্যক্তির ধারণা,
9-10,science,অধ্যায় ৪: নবজীবনের সূচনা,পৃথিবীতে নতুন প্রজাতির উৎপত্তির ধারণা,
9-10,science,অধ্যায় ৫: দেখতে হলে আলো চাই,দর্পণের ব্যবহার,
9-10,science,অধ্যায় ৫: দেখতে হলে আলো চাই,আলোর প্রতিসরণ,
9-10,science,অধ্যায় ৫: দেখতে হলে আলো চাই,দৃষ্টি কার্যক্রমে চোখের ক্রিয়া,
9-10,science,অধ্যায় ৫: দেখতে হলে আলো চাই,স্পষ্ট দর্শনের নিকটতম বিন্দু,
9-10,science,অধ্যায় ৫: দেখতে হলে আলো চাই,লেন্সের ক্ষমতা,
9-10,science,অধ্যায় ৫: দেখতে হলে আলো চাই,চোখের ত্রুটি সৃষ্টির কারণ,
9-10,science,অধ্যায় ৫: দেখতে হলে আলো চাই,লেন্স ব্যবহার করে চোখের ত্রুটি সংশোধনের উপায়,
9-10,science,অধ্যায় ৫: দেখতে হলে আলো চাই,চোখ ভালো রাখার উপায়,
9-10,science,অধ্যায় ৫: দেখতে হলে আলো চাই,চোখের প্রতি যত্ন,
9-10,science,অধ্যায় ৫: দেখতে হলে আলো চাই,চোখ সচেতনতা,
9-10,science,অধ্যায় ৬: পলিমার,প্রাকৃতিক পলিমার,
9-10,science,অধ্যায় ৬: পলিমার,কৃত্রিম পলিমার,
9-10,science,অধ্যায় ৬: পলিমার,পলিমারকরণ প্রক্রিয়া,
9-10,science,অধ্যায় ৬: পলিমার,প্রাকৃতিক তন্ত্রের উৎস,
9-10,science,অধ্যায় ৬: পলিমার,প্রাকৃতিক তন্ত্রের বৈশিষ্ট্য,
9-10,science,অধ্যায় ৬: পলিমার,প্রাকৃতিক তন্ত্রের ব্যবহার,
9-10,science,অধ্যায় ৬: পলিমার,কৃত্রিম তন্ত্রের উৎস,
9-10,science,অধ্যায় ৬: পলিমার,কৃত্রিম তন্ত্রের বৈশিষ্ট্য,
9-10,science,অধ্যায় ৬: পলিমার,কৃত্রিম তন্ত্রের ব্যবহার,
9-10,science,অধ্যায় ৬: পলিমার,প্রাকৃতিক বস্ত্রের উৎস,
9-10,science,অধ্যায় ৬: পলিমার,প্রাকৃতিক বস্ত্রের বৈশিষ্ট্য,
9-10,science,অধ্যায় ৬: পলিমার,প্রাকৃতিক বস্ত্রের ব্যবহার,
9-10,science,অধ্যায় ৬: পলিমার,কৃত্রিম বস্ত্রের উৎস,
9-10,science,অধ্যায় ৬: পলিমার,কৃত্রিম বস্ত্রের বৈশিষ্ট্য,
9-10,science,অধ্যায় ৬: পলিমার,কৃত্রিম বস্ত্রের ব্যবহার,
9-10,science,অধ্যায় ৬: পলিমার,তন্ত্র হতে সূতা তৈরির প্রক্রিয়া,
9-10,science,অধ্যায় ৬: পলিমার,বিভিন্ন প্রকার সূতার বৈশিষ্ট্য,
9-10,science,অধ্যায় ৬: পলিমার,রাবারের ভৌত ধর্ম,
9-10,science,অধ্যায় ৬: পলিমার,রাবারের রাসায়নিক ধর্ম,
9-10,science,অধ্যায় ৬: পলিমার,প্লাস্টিকের ভৌত ধর্ম,
9-10,science,অধ্যায় ৬: পলিমার,প্লাস্টিকের রাসায়নিক ধর্ম,
9-10,science,অধ্যায় ৬: পলিমার,পরিবেশের ভারসাম্যহীনতা সৃষ্টিতে রাবারের ভূমিকা,
9-10,science,অধ্যায় ৬: পলিমার,পরিবেশের ভারসাম্যহীনতা সৃষ্টিতে প্লাস্টিকের ভূমিকা,
9-10,science,অধ্যায় ৬: পলিমার,পরিবেশের ভারসাম্য রক্ষায় রাবারের ব্যবহার,
9-10,science,অধ্যায় ৬: পলিমার,পরিবেশের ভারসাম্য রক্ষায় রাবারের সংরক্ষণ,
9-10,science,অধ্যায় ৬: পলিমার,পরিবেশের ভারসাম্য রক্ষায় প্লাস্টিকের ব্যবহার,
9-10,science,অধ্যায় ৬: পলিমার,পরিবেশের ভারসাম্য রক্ষায় প্লাস্টিকের সংরক্ষণ,
9-10,science,"অধ্যায় ৭: অ্যাস, ফারাক ও লবণের ব্যবহার",শক্তিশালী এসিডের বৈশিষ্ট্য,"Error reading chapter name: অধ্যায় ৭: অম্ল, ক্ষারক ও লবণের ব্যবহার"
9-10,science,"অধ্যায় ৭: অ্যাস, ফারাক ও লবণের ব্যবহার",দুর্বল এসিডের বৈশিষ্ট্য,
9-10,science,"অধ্যায় ৭: অ্যাস, ফারাক ও লবণের ব্যবহার",প্রাতিহাসিক জীবনে এসিডের ব্যবহার,
9-10,science,"অধ্যায় ৭: অ্যাস, ফারাক ও লবণের ব্যবহার",প্রাতিহাসিক জীবনে এসিডের ব্যবহারের সতর্কতা,
9-10,science,"অধ্যায় ৭: অ্যাস, ফারাক ও লবণের ব্যবহার",এসিড অপব্যবহারের সামাজিক প্রভাব,
9-10,science,"অধ্যায় ৭: অ্যাস, ফারাক ও লবণের ব্যবহার",নির্দেশক ব্যবহার করে অম্লত্ব চিহ্নিতকরণ,
9-10,science,"অধ্যায় ৭: অ্যাস, ফারাক ও লবণের ব্যবহার",নির্দেশক ব্যবহার করে ক্ষারত্ব চিহ্নিতকরণ,
9-10,science,"অধ্যায় ৭: অ্যাস, ফারাক ও লবণের ব্যবহার",পাকশল্লিতে এসিডিটির কারণ,
9-10,science,"অধ্যায় ৭: অ্যাস, ফারাক ও লবণের ব্যবহার",পাকশল্লিতে সঠিক খাদ্য নির্বাচন,
9-10,science,"অধ্যায় ৭: অ্যাস, ফারাক ও লবণের ব্যবহার",পদার্থের pH-এর মান জানার প্রয়োজনীয়তা,
9-10,science,"অধ্যায় ৭: অ্যাস, ফারাক ও লবণের ব্যবহার",ফারাকের রাসায়নিক বৈশিষ্ট্য,
9-10,science,"অধ্যায় ৭: অ্যাস, ফারাক ও লবণের ব্যবহার",প্রাতিহাসিক জীবনে ফারাকের প্রয়োজনীয়তা,
9-10,science,"অধ্যায় ৭: অ্যাস, ফারাক ও লবণের ব্যবহার",প্রাতিহাসিক জীবনে ফারাকের ব্যবহারের সতর্কতা,
9-10,science,"অধ্যায় ৭: অ্যাস, ফারাক ও লবণের ব্যবহার",প্রশমনের প্রয়োজনীয়তা,
9-10,science,"অধ্যায় ৭: অ্যাস, ফারাক ও লবণের ব্যবহার",প্রাতিহাসিক জীবনে প্রশমনের প্রয়োজনীয়তা,
9-10,science,"অধ্যায় ৭: অ্যাস, ফারাক ও লবণের ব্যবহার",লবণের রাসায়নিক বৈশিষ্ট্য,
9-10,science,"অধ্যায় ৭: অ্যাস, ফারাক ও লবণের ব্যবহার",প্রাতিহাসিক জীবনে লবণের প্রয়োজনীয়তা,
9-10,science,"অধ্যায় ৭: অ্যাস, ফারাক ও লবণের ব্যবহার",অ্যাসের প্রাতিহাসিক অবদান,
9-10,science,"অধ্যায় ৭: অ্যাস, ফারাক ও লবণের ব্যবহার",ফারাকের প্রাতিহাসিক অবদান,
9-10,science,"অধ্যায় ৭: অ্যাস, ফারাক ও লবণের ব্যবহার",লবণের প্রাতিহাসিক অবদান,
9-10,science,অধ্যায় ৮: আমাদের সম্পদ,মাটির বৈশিষ্ট্য,
9-10,science,অধ্যায় ৮: আমাদের সম্পদ,ভূমির বৈশিষ্ট্য,
9-10,science,অধ্যায় ৮: আমাদের সম্পদ,বিভিন্ন প্রকার মাটির মধ্যে পার্থক্য,
9-10,science,অধ্যায় ৮: আমাদের সম্পদ,মাটির গঠন,
9-10,science,অধ্যায় ৮: আমাদের সম্পদ,মাটির pH মান জানার প্রয়োজনীয়তা,
9-10,science,অধ্যায় ৮: আমাদের সম্পদ,মাটি দূষণের কারণ,
9-10,science,অধ্যায় ৮: আমাদের সম্পদ,মাটি দূষণের ফলাফল,
9-10,science,অধ্যায় ৮: আমাদের সম্পদ,মাটি সংরক্ষণের কৌশল,
9-10,science,অধ্যায় ৮: আমাদের সম্পদ,মাটিতে অবস্থিত খনিজের ভৌত ধর্ম,
9-10,science,অধ্যায় ৮: আমাদের সম্পদ,মাটিতে অবস্থিত খনিজের রাসায়নিক ধর্ম,
9-10,science,অধ্যায় ৮: আমাদের সম্পদ,খনিজের ব্যবহার,
9-10,science,অধ্যায় ৮: আমাদের সম্পদ,খনিজের সংরক্ষণের কৌশল,
9-10,science,অধ্যায় ৮: আমাদের সম্পদ,প্রাকৃতিক জ্বালানির গঠন,
9-10,science,অধ্যায় ৮: আমাদের সম্পদ,প্রাকৃতিক জ্বালানির প্রক্রিয়াকরণ,
9-10,science,অধ্যায় ৮: আমাদের সম্পদ,প্রাকৃতিক জ্বালানির ব্যবহার,
9-10,science,অধ্যায় ৮: আমাদের সম্পদ,প্রাকৃতিক জ্বালানির সংরক্ষণের কৌশল,
9-10,science,অধ্যায় ৮: আমাদের সম্পদ,pH পেপার দিয়ে মাটির pH নির্ণয়,
9-10,science,অধ্যায় ৮: আমাদের সম্পদ,লিটমাস পেপার দিয়ে মাটির অম্লত্ব নির্ণয়,
9-10,science,অধ্যায় ৮: আমাদের সম্পদ,লিটমাস পেপার দিয়ে মাটির ক্ষারত্ব নির্ণয়,
9-10,science,অধ্যায় ৮: আমাদের সম্পদ,সম্পদ সংরক্ষণে যত্নবান হ,Error reading: সম্পদ সংরক্ষণে যত্নবান হওয়া
9-10,science,অধ্যায় ৮: আমাদের সম্পদ,য়া,
9-10,science,অধ্যায় ৮: আমাদের সম্পদ,সম্পদ সংরক্ষণে অন্যদের সচেতন করা,
9-10,science,অধ্যায় ৯: দুর্যোগের সাথে বসবাস,বাংলাদেশে জলবায়ু পরিবর্তনের প্রভাব,
9-10,science,অধ্যায় ৯: দুর্যোগের সাথে বসবাস,আন্তর্জাতিক প্রেক্ষাপটে জলবায়ু পরিবর্তনের প্রভাব,
9-10,science,অধ্যায় ৯: দুর্যোগের সাথে বসবাস,পরিবেশগত সমস্যা সৃষ্টির কারণ,
9-10,science,অধ্যায় ৯: দুর্যোগের সাথে বসবাস,দুর্যোগ সৃষ্টির কারণ,
9-10,science,অধ্যায় ৯: দুর্যোগের সাথে বসবাস,দুর্যোগ প্রতিরোধের কৌশল,
9-10,science,অধ্যায় ৯: দুর্যোগের সাথে বসবাস,দুর্যোগ মোকাবেলার কৌশল,
9-10,science,অধ্যায় ৯: দুর্যোগের সাথে বসবাস,দুর্যোগের পর তাৎক্ষণিক করণীয়,
9-10,science,অধ্যায় ৯: দুর্যোগের সাথে বসবাস,সুস্থ জীবনযাপনে মানসম্মত পরিবেশের গুরুত্ব,
9-10,science,অধ্যায় ৯: দুর্যোগের সাথে বসবাস,সুস্থ জীবনযাপনে উন্নত পরিবেশের গুরুত্ব,
9-10,science,অধ্যায় ৯: দুর্যোগের সাথে বসবাস,প্রকৃতি সংরক্ষণশীলতার তাৎপর্য,
9-10,science,অধ্যায় ৯: দুর্যোগের সাথে বসবাস,প্রকৃতি সংরক্ষণশীলতার বিভিন্ন কৌশল,
9-10,science,অধ্যায় ৯: দুর্যোগের সাথে বসবাস,দুর্যোগ প্রতিরোধে সমাজ সচেতনতা,
9-10,science,অধ্যায় ৯: দুর্যোগের সাথে বসবাস,দুর্যোগের করণীয় সম্পর্কে সমাজ সচেতনতা,
9-10,science,অধ্যায় ৯: দুর্যোগের সাথে বসবাস,প্রকৃতি সংরক্ষণশীলতার প্রয়োজনীয়তা,
9-10,science,অধ্যায় ৯: দুর্যোগের সাথে বসবাস,সামাজিক সচেতনতা সৃষ্টি,
9-10,science,অধ্যায় ৯: দুর্যোগের সাথে বসবাস,পরিবেশ সংরক্ষণে সচেতনতা সৃষ্টির উদ্যোগ,
9-10,science,অধ্যায় ১০: এসো বলকে জানি,বস্তুর জড়তা,
9-10,science,অধ্যায় ১০: এসো বলকে জানি,বলের গুণগত ধারণা,
9-10,science,অধ্যায় ১০: এসো বলকে জানি,নিউটনের গতির প্রথম সূত্র,
9-10,science,অধ্যায় ১০: এসো বলকে জানি,জড়তার ব্যবহারিক অভিজ্ঞতা,
9-10,science,অধ্যায় ১০: এসো বলকে জানি,বিভিন্ন প্রকার বলের প্রকৃতি,
9-10,science,অধ্যায় ১০: এসো বলকে জানি,ব্যবহারিক জীবনে ঘর্ষণের সুবিধা,
9-10,science,অধ্যায় ১০: এসো বলকে জানি,স্থিতির,Error reading: স্থিতির বলের উপর গতির প্রভাব
9-10,science,অধ্যায় ১০: এসো বলকে জানি,পর বলের প্রভাব,
9-10,science,অধ্যায় ১০: এসো বলকে জানি,গতির,
9-10,science,অধ্যায় ১০: এসো বলকে জানি,পর বলের প্রভাব,
9-10,science,অধ্যায় ১০: এসো বলকে জানি,নিউটনের দ্বিতীয় সূত্র,
9-10,science,অধ্যায় ১০: এসো বলকে জানি,নিউটনের দ্বিতীয় সূত্রে বলের পরিমাপ,
9-10,science,অধ্যায় ১০: এসো বলকে জানি,নিউটনের তৃতীয় সূত্র,
9-10,science,অধ্যায় ১০: এসো বলকে জানি,নিউটনের তৃতীয় সূত্রের জনপ্রিয় ঘটনা,
9-10,science,অধ্যায় ১০: এসো বলকে জানি,জীবনে বলের প্রয়োজনীয়তা,
9-10,science,অধ্যায় ১১: প্রাতিহাসিক জীবনে তড়িৎ,তড়িৎ উৎপাদন,
9-10,science,অধ্যায় ১১: প্রাতিহাসিক জীবনে তড়িৎ,যন্ত্র প্রতীকের সাহায্যে তড়িৎ প্রকাশ,
9-10,science,অধ্যায় ১১: প্রাতিহাসিক জীবনে তড়িৎ,ব্যাটারির কার্যক্রম,
9-10,science,অধ্যায় ১১: প্রাতিহাসিক জীবনে তড়িৎ,তড়িৎ বিশ্লেষণ প্রক্রিয়া,
9-10,science,অধ্যায় ১১: প্রাতিহাসিক জীবনে তড়িৎ,তড়িৎ প্রলেপন প্রক্রিয়া,
9-10,science,অধ্যায় ১১: প্রাতিহাসিক জীবনে তড়িৎ,প্রাতিহাসিক জীবনে তড়িৎ বিশ্লেষণের গুরুত্ব,
9-10,science,অধ্যায় ১১: প্রাতিহাসিক জীবনে তড়িৎ,প্রাতিহাসিক জীবনে তড়িৎ প্রলেপনের গুরুত্ব,
9-10,science,অধ্যায় ১১: প্রাতিহাসিক জীবনে তড়িৎ,কিলো,Error reading: কিলোওয়াট-ঘণ্টা
9-10,science,অধ্যায় ১১: প্রাতিহাসিক জীবনে তড়িৎ,য়াট,
9-10,science,অধ্যায় ১১: প্রাতিহাসিক জীবনে তড়িৎ,কিলো,
9-10,science,অধ্যায় ১১: প্রাতিহাসিক জীবনে তড়িৎ,য়াট-ঘণ্টা,
9-10,science,অধ্যায় ১১: প্রাতিহাসিক জীবনে তড়িৎ,বৈদ্যুতিক ক্ষমতার হিসাব,
9-10,science,অধ্যায় ১১: প্রাতিহাসিক জীবনে তড়িৎ,এনার্জি সেভিং বলের সুবিধা,
9-10,science,অধ্যায় ১১: প্রাতিহাসিক জীবনে তড়িৎ,আইপিএসের কার্যক্রম,Error
9-10,science,অধ্যায় ১১: প্রাতিহাসিক জীবনে তড়িৎ,ব্যবহার,Error: this can't be a topic
9-10,science,অধ্যায় ১১: প্রাতিহাসিক জীবনে তড়িৎ,ইউপিএসের কার্যক্রম,Error
9-10,science,অধ্যায় ১১: প্রাতিহাসিক জীবনে তড়িৎ,ব্যবহার,Error: this can't be a topic
9-10,science,অধ্যায় ১১: প্রাতিহাসিক জীবনে তড়িৎ,সিস্টেম লস,
9-10,science,অধ্যায় ১১: প্রাতিহাসিক জীবনে তড়িৎ,লোড শেডিং,
9-10,science,অধ্যায় ১১: প্রাতিহাসিক জীবনে তড়িৎ,উন্নয়ন কার্যক্রমে বিদ্যুতের অবদান,
9-10,science,অধ্যায় ১১: প্রাতিহাসিক জীবনে তড়িৎ,তড়িৎ উপকরণের সঠিক ব্যবহার,
9-10,science,অধ্যায় ১১: প্রাতিহাসিক জীবনে তড়িৎ,যন্ত্রপাতির সঠিক ব্যবহার,
9-10,science,অধ্যায় ১১: প্রাতিহাসিক জীবনে তড়িৎ,তড়িতের অপচয় রোধ,
9-10,science,অধ্যায় ১১: প্রাতিহাসিক জীবনে তড়িৎ,তড়িৎ সচেতনতা,
