"grade","subject","chapter","topic"
"9-10","higher-math","অধ্যায় ২: বীজগাণিতিক রাশি","আংশিক ভগ্নাংশ (Partial Fractions)"
"9-10","higher-math","অধ্যায় ৩: জ্যামিতি","পিথাগোরাসের উপপাদ্য (Pythagorean Theorem)"
"9-10","higher-math","অধ্যায় ৩: জ্যামিতি","পিথাগোরাসের উপপাদ্যের বিপরীত উপপাদ্য"
"9-10","higher-math","অধ্যায় ৩: জ্যামিতি","বিন্দুর লম্ব অভিক্ষেপ (Orthogonal Projection of a Point)"
"9-10","higher-math","অধ্যায় ৩: জ্যামিতি","রেখাংশের লম্ব অভিক্ষেপ (Orthogonal Projection of a Line)"
"9-10","higher-math","অধ্যায় ৩: জ্যামিতি","সমকোণী ত্রিভুজে সমকোণের বিপরীত বাহুর ওপর বর্গক্ষেত্র"
"9-10","higher-math","অধ্যায় ৩: জ্যামিতি","স্থূলকোণী ত্রিভুজে স্থূলকোণের বিপরীত বাহুর ওপর বর্গক্ষেত্র (উপপাদ্য ৩)"
"9-10","higher-math","অধ্যায় ৩: জ্যামিতি","সূক্ষ্মকোণী ত্রিভুজে সূক্ষ্মকোণের বিপরীত বাহুর ওপর বর্গক্ষেত্র (উপপাদ্য ৪)"
"9-10","higher-math","অধ্যায় ৩: জ্যামিতি","অ্যাপোলোনিয়াসের উপপাদ্য (Apollonius Theorem)"
"9-10","higher-math","অধ্যায় ৩: জ্যামিতি","ত্রিভুজের মধ্যমার ওপর বর্গক্ষেত্রের সম্পর্ক"
"9-10","higher-math","অধ্যায় ৩: জ্যামিতি","সদৃশকোণী ত্রিভুজ (Similar Triangles)"
"9-10","higher-math","অধ্যায় ৩: জ্যামিতি","সদৃশকোণী বহুভুজ (Similar Polygons)"
"9-10","higher-math","অধ্যায় ৩: জ্যামিতি","সদৃশকোণী ত্রিভুজের বাহুর অনুপাত"
"9-10","higher-math","অধ্যায় ৩: জ্যামিতি","সদৃশকোণী ত্রিভুজের ক্ষেত্রফলের অনুপাত"
"9-10","higher-math","অধ্যায় ৩: জ্যামিতি","নববিন্দু বৃত্ত (Nine Point Circle)"
"9-10","higher-math","অধ্যায় ৩: জ্যামিতি","ত্রিভুজের পরিকেন্দ্র, ভরকেন্দ্র ও লম্ববিন্দু সমরেখ"
"9-10","higher-math","অধ্যায় ৩: জ্যামিতি","বৃত্তস্থের উপপাদ্য (Theorem of Intersecting Chords)"
"9-10","higher-math","অধ্যায় ৩: জ্যামিতি","টলেমির উপপাদ্য (Ptolemy's Theorem)"
"9-10","higher-math","অধ্যায় ৪: জ্যামিতিক অঙ্কন","ত্রিভুজ অঙ্কন - ভূমি, ভূমিসংলগ্ন কোন ও উচ্চতা দিয়ে"
"9-10","higher-math","অধ্যায় ৪: জ্যামিতিক অঙ্কন","ত্রিভুজ অঙ্কন - ভূমি, শিরংকোণ ও অপর দুই বাহুর সমষ্টি দিয়ে"
"9-10","higher-math","অধ্যায় ৪: জ্যামিতিক অঙ্কন","ত্রিভুজ অঙ্কন - ভূমি, শিরংকোণ ও অপর দুই বাহুর অন্তর দিয়ে"
"9-10","higher-math","অধ্যায় ৪: জ্যামিতিক অঙ্কন","ত্রিভুজ অঙ্কন - ভূমিসংলগ্ন একটি কোণ, উচ্চতা ও অপর দুই বাহুর সমষ্টি দিয়ে"
"9-10","higher-math","অধ্যায় ৪: জ্যামিতিক অঙ্কন","সমকোণী ত্রিভুজ অঙ্কন - অতিভুজ ও অপর দুই বাহুর সমষ্টি দিয়ে"
"9-10","higher-math","অধ্যায় ৪: জ্যামিতিক অঙ্কন","ত্রিভুজ অঙ্কন - উচ্চতা, ভূমির ওপর মধ্যমা ও ভূমিসংলগ্ন কোণ দিয়ে"
"9-10","higher-math","অধ্যায় ৪: জ্যামিতিক অঙ্কন","ত্রিভুজ অঙ্কন - পরিসীমা ও দুটি কোনের মান দিয়ে"
"9-10","higher-math","অধ্যায় ৪: জ্যামিতিক অঙ্কন","বৃত্ত অঙ্কন - দুটি নির্দিষ্ট বিন্দু দিয়ে যাওয়া ও কেন্দ্র একটি সরলরেখায় অবস্থিত"
"9-10","higher-math","অধ্যায় ৪: জ্যামিতিক অঙ্কন","বৃত্ত অঙ্কন - একটি নির্দিষ্ট বিন্দুকে স্পর্শ করে ও আরেকটি বিন্দু দিয়ে যাওয়া"
"9-10","higher-math","অধ্যায় ৪: জ্যামিতিক অঙ্কন","বৃত্ত অঙ্কন - একটি সরলরেখাকে স্পর্শ করে ও বহিঃস্থ একটি বিন্দু দিয়ে যাওয়া"
"9-10","higher-math","অধ্যায় ৪: জ্যামিতিক অঙ্কন","বৃত্ত অঙ্কন - একটি বৃত্তকে স্পর্শ করে ও বহিঃস্থ একটি বিন্দু দিয়ে যাওয়া"
"9-10","higher-math","অধ্যায় ৪: জ্যামিতিক অঙ্কন","বৃত্ত অঙ্কন - একটি বৃত্তকে একটি নির্দিষ্ট বিন্দুতে স্পর্শ করে ও বহিঃস্থ বিন্দু দিয়ে যাওয়া"
"9-10","higher-math","অধ্যায় ৪: জ্যামিতিক অঙ্কন","তিনটি বহিঃস্পর্শক বৃত্ত অঙ্কন"
"9-10","higher-math","অধ্যায় ৪: জ্যামিতিক অঙ্কন","বৃত্তের জ্যা অঙ্কন"
"9-10","higher-math","অধ্যায় ৪: জ্যামিতিক অঙ্কন","সমদ্বিবাহু ত্রিভুজ অঙ্কন ও পরিবৃত্ত বৃত্ত অঙ্কন"
"9-10","higher-math","অধ্যায় ৪: জ্যামিতিক অঙ্কন","বৃত্তের স্পর্শক অঙ্কন - কেন্দ্র থেকে নির্দিষ্ট দূরত্বের বিন্দু থেকে"
"9-10","higher-math","অধ্যায় ৫: সমীকরণ","দ্বিঘাত সমীকরণের ধারণা"
"9-10","higher-math","অধ্যায় ৫: সমীকরণ","দ্বিঘাত সমীকরণের উৎপাদকে বিশ্লেষণ"
"9-10","higher-math","অধ্যায় ৫: সমীকরণ","দ্বিঘাত সূত্রের সাহায্যে সমাধান"
"9-10","higher-math","অধ্যায় ৫: সমীকরণ","বর্গমূলবিশিষ্ট সমীকরণ চিহ্নিতকরণ"
"9-10","higher-math","অধ্যায় ৫: সমীকরণ","বর্গমূলবিশিষ্ট সমীকরণের সমাধান"
"9-10","higher-math","অধ্যায় ৫: সমীকরণ","সূচকীয় সমীকরণের ধারণা"
"9-10","higher-math","অধ্যায় ৫: সমীকরণ","সূচকীয় সমীকরণের সমাধান"
"9-10","higher-math","অধ্যায় ৫: সমীকরণ","দুই চলকের দ্বিঘাত সমীকরণ জোট"
"9-10","higher-math","অধ্যায় ৫: সমীকরণ","দুই চলকের সূচকীয় সমীকরণ জোট"
"9-10","higher-math","অধ্যায় ৫: সমীকরণ","বাস্তব সমস্যায় সমীকরণের প্রয়োগ"
"9-10","higher-math","অধ্যায় ৫: সমীকরণ","লেখচিত্রে দ্বিঘাত সমীকরণের সমাধান"
"9-10","higher-math","অধ্যায় ৬: অসমতা","অসমতার ধারণা ও সংজ্ঞা"
"9-10","higher-math","অধ্যায় ৬: অসমতা","অসমতার বৈশিষ্ট্য ও সূত্র"
"9-10","higher-math","অধ্যায় ৬: অসমতা","এক চলকের সরল অসমতা"
"9-10","higher-math","অধ্যায় ৬: অসমতা","দুই চলকের সরল একঘাত অসমতা"
"9-10","higher-math","অধ্যায় ৬: অসমতা","লেখচিত্রে অসমতার সমাধান"
"9-10","higher-math","অধ্যায় ৬: অসমতা","বাস্তব সমস্যায় অসমতার প্রয়োগ"
"9-10","higher-math","অধ্যায় ৭: অসীম ধারা","অনুক্রমের ধারণা ও সংজ্ঞা"
"9-10","higher-math","অধ্যায় ৭: অসীম ধারা","ধারার সাধারণ পদ (General Term of a Series)"
"9-10","higher-math","অধ্যায় ৭: অসীম ধারা","সমান্তর ধারা (Arithmetic Series)"
"9-10","higher-math","অধ্যায় ৭: অসীম ধারা","সমান্তর ধারার যোগফল"
"9-10","higher-math","অধ্যায় ৭: অসীম ধারা","গুণোত্তর ধারা (Geometric Series)"
"9-10","higher-math","অধ্যায় ৭: অসীম ধারা","গুণোত্তর ধারার যোগফল"
"9-10","higher-math","অধ্যায় ৭: অসীম ধারা","অসীম গুণোত্তর ধারার সমষ্টি"
"9-10","higher-math","অধ্যায় ৭: অসীম ধারা","আবর্তী দশমিক থেকে সাধারণ ভগ্নাংশে রূপান্তর"
"9-10","higher-math","অধ্যায় ৭: অসীম ধারা","ধারা সংক্রান্ত সমস্যা সমাধান"
"9-10","higher-math","অধ্যায় ৮: ত্রিকোণমিতি","রেডিয়ান পরিমাপ"
"9-10","higher-math","অধ্যায় ৮: ত্রিকোণমিতি","ডিগ্রি ও রেডিয়ান রূপান্তর"
"9-10","higher-math","অধ্যায় ৮: ত্রিকোণমিতি","একক বৃত্তের কোণ"
"9-10","higher-math","অধ্যায় ৮: ত্রিকোণমিতি","ত্রিকোণমিতিক অনুপাত (sin, cos, tan, cot, sec, cosec)"
"9-10","higher-math","অধ্যায় ৮: ত্রিকোণমিতি","ত্রিকোণমিতিক অনুপাতের মান"
"9-10","higher-math","অধ্যায় ৮: ত্রিকোণমিতি","নেগেটিভ কোণের ত্রিকোণমিতিক অনুপাত"
"9-10","higher-math","অধ্যায় ৮: ত্রিকোণমিতি","nπ/2 ± θ কোণের ত্রিকোণমিতিক অনুপাত"
"9-10","higher-math","অধ্যায় ৮: ত্রিকোণমিতি","সহজ ত্রিকোণমিতিক সমীকরণ"
"9-10","higher-math","অধ্যায় ৯: সূচকীয় ও লগারিদমীয় ফাংশন","মূলদ ও অমূলদ সূচক"
"9-10","higher-math","অধ্যায় ৯: সূচকীয় ও লগারিদমীয় ফাংশন","সূচকের সূত্রাবলী"
"9-10","higher-math","অধ্যায় ৯: সূচকীয় ও লগারিদমীয় ফাংশন","সূচক ও লগারিদমের সম্পর্ক"
"9-10","higher-math","অধ্যায় ৯: সূচকীয় ও লগারিদমীয় ফাংশন","লগারিদমের সূত্রাবলী"
"9-10","higher-math","অধ্যায় ৯: সূচকীয় ও লগারিদমীয় ফাংশন","ভিত্তি পরিবর্তন"
"9-10","higher-math","অধ্যায় ৯: সূচকীয় ও লগারিদমীয় ফাংশন","সূচকীয় ফাংশন (Exponential Function)"
"9-10","higher-math","অধ্যায় ৯: সূচকীয় ও লগারিদমীয় ফাংশন","লগারিদমীয় ফাংশন (Logarithmic Function)"
"9-10","higher-math","অধ্যায় ৯: সূচকীয় ও লগারিদমীয় ফাংশন","পরমমান ফাংশন (Modulus Function)"
"9-10","higher-math","অধ্যায় ৯: সূচকীয় ও লগারিদমীয় ফাংশন","ফাংশনের লেখচিত্র"
"9-10","higher-math","অধ্যায় ৯: সূচকীয় ও লগারিদমীয় ফাংশন","ক্যালকুলেটরে লগ ও প্রতিলগ"
"9-10","higher-math","অধ্যায় ১০: দ্বিপদী বিস্তৃতি","দ্বিপদী সম্প্রসারণের ধারণা"
"9-10","higher-math","অধ্যায় ১০: দ্বিপদী বিস্তৃতি","(1 + y)^n এর সম্প্রসারণ"
"9-10","higher-math","অধ্যায় ১০: দ্বিপদী বিস্তৃতি","প্যাসকেলের ত্রিভুজ (Pascal's Triangle)"
"9-10","higher-math","অধ্যায় ১০: দ্বিপদী বিস্তৃতি","দ্বিপদী সম্প্রসারণ (Binomial Theorem)"
"9-10","higher-math","অধ্যায় ১০: দ্বিপদী বিস্তৃতি","n! (ফ্যাক্টোরিয়াল)"
"9-10","higher-math","অধ্যায় ১০: দ্বিপদী বিস্তৃতি","nCr (বাছাই সংখ্যা)"
"9-10","higher-math","অধ্যায় ১০: দ্বিপদী বিস্তৃতি","দ্বিপদী সম্প্রসারণের প্রয়োগ"
"9-10","higher-math","অধ্যায় ১১: স্থানাঙ্ক জ্যামিতি","কার্তেসীয় স্থানাঙ্ক ব্যবস্থা"
"9-10","higher-math","অধ্যায় ১১: স্থানাঙ্ক জ্যামিতি","দুই বিন্দুর মধ্যবর্তী দূরত্ব"
"9-10","higher-math","অধ্যায় ১১: স্থানাঙ্ক জ্যামিতি","সরলরেখার ঢাল (Slope)"
"9-10","higher-math","অধ্যায় ১১: স্থানাঙ্ক জ্যামিতি","সরলরেখার সমীকরণ"
"9-10","higher-math","অধ্যায় ১১: স্থানাঙ্ক জ্যামিতি","স্থানাঙ্কে ত্রিভুজের ক্ষেত্রফল"
"9-10","higher-math","অধ্যায় ১১: স্থানাঙ্ক জ্যামিতি","বাহুর দৈর্ঘ্য থেকে ক্ষেত্রফল"
"9-10","higher-math","অধ্যায় ১১: স্থানাঙ্ক জ্যামিতি","স্থানাঙ্কে জ্যামিতিক অঙ্কন"
"9-10","higher-math","অধ্যায় ১১: স্থানাঙ্ক জ্যামিতি","লেখচিত্রে সরলরেখা"
"9-10","higher-math","অধ্যায় ১২: সমতলীয় ভেক্টর","স্কেলার রাশি ও ভেক্টর রাশির পার্থক্য"
"9-10","higher-math","অধ্যায় ১২: সমতলীয় ভেক্টর","ভেক্টরের প্রতীক ও মান"
"9-10","higher-math","অধ্যায় ১২: সমতলীয় ভেক্টর","সমান ভেক্টরের শর্তাবলী"
"9-10","higher-math","অধ্যায় ১২: সমতলীয় ভেক্টর","বিপরীত ভেক্টরের নির্ধারণ"
"9-10","higher-math","অধ্যায় ১২: সমতলীয় ভেক্টর","ভেক্টরের যোগের ত্রিভুজবিধি"
"9-10","higher-math","অধ্যায় ১২: সমতলীয় ভেক্টর","ভেক্টরের যোগের সামান্তরিকবিধি"
"9-10","higher-math","অধ্যায় ১২: সমতলীয় ভেক্টর","শূন্য ভেক্টরের ধারণা"
"9-10","higher-math","অধ্যায় ১২: সমতলীয় ভেক্টর","স্কেলার গুণিতকের সূত্রাবলী"
"9-10","higher-math","অধ্যায় ১২: সমতলীয় ভেক্টর","বর্তনবিধির প্রমাণ"
"9-10","higher-math","অধ্যায় ১২: সমতলীয় ভেক্টর","অবস্থান ভেক্টর দিয়ে দূরত্ব নির্ণয়"
"9-10","higher-math","অধ্যায় ১২: সমতলীয় ভেক্টর","ভেক্টর বিয়োগের ত্রিভুজবিধি"
"9-10","higher-math","অধ্যায় ১২: সমতলীয় ভেক্টর","ভেক্টর পদ্ধতিতে জ্যামিতিক প্রমাণ"
"9-10","higher-math","অধ্যায় ১৩: ঘন জ্যামিতি","ঘনবস্তুর ধারণা ও প্রকারভেদ"
"9-10","higher-math","অধ্যায় ১৩: ঘন জ্যামিতি","ঘনবস্তুর প্রতীকী চিত্র"
"9-10","higher-math","অধ্যায় ১৩: ঘন জ্যামিতি","প্রিজমের আয়তন ও পৃষ্ঠতলের ক্ষেত্রফল"
"9-10","higher-math","অধ্যায় ১৩: ঘন জ্যামিতি","পিরামিডের আয়তন ও পৃষ্ঠতলের ক্ষেত্রফল"
"9-10","higher-math","অধ্যায় ১৩: ঘন জ্যামিতি","গোলকের আয়তন ও পৃষ্ঠতলের ক্ষেত্রফল"
"9-10","higher-math","অধ্যায় ১৩: ঘন জ্যামিতি","সমবৃত্তভূমিক কোণকের আয়তন ও পৃষ্ঠতলের ক্ষেত্রফল"
"9-10","higher-math","অধ্যায় ১৩: ঘন জ্যামিতি","যৌগিক ঘনবস্তুর আয়তন"
"9-10","higher-math","অধ্যায় ১৩: ঘন জ্যামিতি","ঘন জ্যামিতির ব্যবহারিক সমস্যা"
"9-10","higher-math","অধ্যায় ১৪: সম্ভাবনা","সম্ভাবনার সংজ্ঞা ও মৌলিক ধারণা"
"9-10","higher-math","অধ্যায় ১৪: সম্ভাবনা","নিশ্চিত, অসম্ভব ও সম্ভাব্য ঘটনা"
"9-10","higher-math","অধ্যায় ১৪: সম্ভাবনা","সমসম্ভাবী ঘটনা (Equally Likely Events)"
"9-10","higher-math","অধ্যায় ১৪: সম্ভাবনা","পুনরাবৃত্ত পরীক্ষায় সম্ভাবনা"
"9-10","higher-math","অধ্যায় ১৪: সম্ভাবনা","সম্ভাবনা ফলাফলের নির্ণয়"
"9-10","higher-math","অধ্যায় ১৪: সম্ভাবনা","সম্ভাবনার সহজ সমস্যা"
"9-10","higher-math","অধ্যায় ১৪: সম্ভাবনা","সম্ভাবনার বাস্তবভিত্তিক সমস্যা"
