"grade","subject","chapter","topic","scope_note","topic_raw"
"9-10","agriculture","অধ্যায় ২: কৃষি উপকরণ","পুকুরের বসবাসকারী জীবসম্প্রদায়","প্রাণকটন, স্বান্তরু, তলবাসী, জলজ উদ্ভিদ","পুকুরের বসবাসকারী জীবসম্প্রদায় (প্রাণকটন, স্বান্তরু, তলবাসী, জলজ উদ্ভিদ)"
"9-10","agriculture","অধ্যায় ২: কৃষি উপকরণ","মাছ চাষের জন্য পুকুর খনন ও প্রস্তুতকরণ","","মাছ চাষের জন্য পুকুর খনন ও প্রস্তুতকরণ"
"9-10","agriculture","অধ্যায় ২: কৃষি উপকরণ","পুকুরে মাছের পোনা ছাড়ার পদ্ধতি","","পুকুরে মাছের পোনা ছাড়ার পদ্ধতি"
"9-10","agriculture","অধ্যায় ২: কৃষি উপকরণ","মৎস্য অভয়াশ্রম ও মৎস্য সংরক্ষণ আইন","","মৎস্য অভয়াশ্রম ও মৎস্য সংরক্ষণ আইন"
"9-10","agriculture","অধ্যায় ২: কৃষি উপকরণ","গৃহপালিত পাখির আবাসন","হাঁস-মুরগি","গৃহপালিত পাখির আবাসন (হাঁস-মুরগি)"
"9-10","agriculture","অধ্যায় ২: কৃষি উপকরণ","পোল্ট্রি আবাসন তৈরির ধাপ ও স্থান নির্বাচন","","পোল্ট্রি আবাসন তৈরির ধাপ ও স্থান নির্বাচন"
"9-10","agriculture","অধ্যায় ২: কৃষি উপকরণ","গৃহপালিত পাখির খাদ্য","মুরগি ও হাঁসের খাদ্য","গৃহপালিত পাখির খাদ্য (মুরগি ও হাঁসের খাদ্য)"
"9-10","agriculture","অধ্যায় ২: কৃষি উপকরণ","গবাদি পশুর খাদ্যের প্রকারভেদ","আংশ জাতীয় ও দানাজাতীয়","গবাদি পশুর খাদ্যের প্রকারভেদ (আংশ জাতীয় ও দানাজাতীয়)"
"9-10","agriculture","অধ্যায় ২: কৃষি উপকরণ","সাইলেজ ও খে তৈরির পদ্ধতি ও সংরক্ষণ","","সাইলেজ ও খে তৈরির পদ্ধতি ও সংরক্ষণ"
"9-10","agriculture","অধ্যায় ৩: কৃষি ও জলবায়ু","শীতসহিষ্ণু ফসল ও ফসলের জাত","","শীতসহিষ্ণু ফসল ও ফসলের জাত"
"9-10","agriculture","অধ্যায় ৩: কৃষি ও জলবায়ু","খরাসহিষ্ণু ফসল ও ফসলের জাত","","খরাসহিষ্ণু ফসল ও ফসলের জাত"
"9-10","agriculture","অধ্যায় ৩: কৃষি ও জলবায়ু","লবণাক্ততা-সহিষ্ণু ফসল ও ফসলের জাত","","লবণাক্ততা-সহিষ্ণু ফসল ও ফসলের জাত"
"9-10","agriculture","অধ্যায় ৩: কৃষি ও জলবায়ু","বন্যা বা জলবদ্ধতা-সহিষ্ণু ফসল ও ফসলের জাত","","বন্যা বা জলবদ্ধতা-সহিষ্ণু ফসল ও ফসলের জাত"
"9-10","agriculture","অধ্যায় ৩: কৃষি ও জলবায়ু","জলবায়ু পরিবর্তন ও কৃষিক্ষেত্রে সাধারণ প্রভাব","","জলবায়ু পরিবর্তন ও কৃষিক্ষেত্রে সাধারণ প্রভাব"
"9-10","agriculture","অধ্যায় ৩: কৃষি ও জলবায়ু","ফসল উৎপাদনে তাপমাত্রা, খরা, লবণাক্ততা ও জলবদ্ধতার প্রভাব","","ফসল উৎপাদনে তাপমাত্রা, খরা, লবণাক্ততা ও জলবদ্ধতার প্রভাব"
"9-10","agriculture","অধ্যায় ৩: কৃষি ও জলবায়ু","ফসলের খরা অভিযোজন কৌশল","ধৈর্য্য, পরিহার, সহ্যকরণ","ফসলের খরা অভিযোজন কৌশল (ধৈর্য্য, পরিহার, সহ্যকরণ)"
"9-10","agriculture","অধ্যায় ৩: কৃষি ও জলবায়ু","ফসলের লবণাক্ততা অভিযোজন কলাকৌশল","","ফসলের লবণাক্ততা অভিযোজন কলাকৌশল"
"9-10","agriculture","অধ্যায় ৩: কৃষি ও জলবায়ু","জলবদ্ধ অবস্থায় ফসলের অভিযোজন কলাকৌশল","","জলবদ্ধ অবস্থায় ফসলের অভিযোজন কলাকৌশল"
"9-10","agriculture","অধ্যায় ৩: কৃষি ও জলবায়ু","উচ্চ তাপমাত্রা অভিযোজন কৌশল","","উচ্চ তাপমাত্রা অভিযোজন কৌশল"
"9-10","agriculture","অধ্যায় ৩: কৃষি ও জলবায়ু","মৎস্য ক্ষেত্রে জলবায়ু পরিবর্তনের প্রভাব","","মৎস্য ক্ষেত্রে জলবায়ু পরিবর্তনের প্রভাব"
"9-10","agriculture","অধ্যায় ৩: কৃষি ও জলবায়ু","মৎস্য ক্ষেত্রে অভিযোজন কলাকৌশল","","মৎস্য ক্ষেত্রে অভিযোজন কলাকৌশল"
"9-10","agriculture","অধ্যায় ৩: কৃষি ও জলবায়ু","পশুপাখির উপর জলবায়ু পরিবর্তনের প্রভাব","খরা, বন্যা, জলোচ্ছ্বাস","পশুপাখির উপর জলবায়ু পরিবর্তনের প্রভাব (খরা, বন্যা, জলোচ্ছ্বাস)"
"9-10","agriculture","অধ্যায় ৩: কৃষি ও জলবায়ু","পশুপাখির অভিযোজন কলাকৌশল","","পশুপাখির অভিযোজন কলাকৌশল"
"9-10","agriculture","অধ্যায় ৪: কৃষিজ উৎপাদন","ধান চাষপদ্ধতি","জমি নির্বাচন, জাত, বীজ বাছাই, রোপণ, পরিচর্যা, ফসল সংগ্রহ","ধান চাষপদ্ধতি (জমি নির্বাচন, জাত, বীজ বাছাই, রোপণ, পরিচর্যা, ফসল সংগ্রহ)"
"9-10","agriculture","অধ্যায় ৪: কৃষিজ উৎপাদন","পাট চাষপদ্ধতি","জাত, জমি তৈরি, বীজ বপন, পোকা দমন, ফসল সংগ্রহ","পাট চাষপদ্ধতি (জাত, জমি তৈরি, বীজ বপন, পোকা দমন, ফসল সংগ্রহ)"
"9-10","agriculture","অধ্যায় ৪: কৃষিজ উৎপাদন","সরিষা চাষপদ্ধতি","জাত নির্বাচন, বপন, পরিচর্যা, ফসল সংগ্রহ","সরিষা চাষপদ্ধতি (জাত নির্বাচন, বপন, পরিচর্যা, ফসল সংগ্রহ)"
"9-10","agriculture","অধ্যায় ৪: কৃষিজ উৎপাদন","মাসকলাই চাষপদ্ধতি","বীজ বপন, সার ব্যবস্থাপনা, পোকা ব্যবস্থাপনা, ফলন","মাসকলাই চাষপদ্ধতি (বীজ বপন, সার ব্যবস্থাপনা, পোকা ব্যবস্থাপনা, ফলন)"
"9-10","agriculture","অধ্যায় ৪: কৃষিজ উৎপাদন","পুইশাক চাষপদ্ধতি","","পুইশাক চাষপদ্ধতি"
"9-10","agriculture","অধ্যায় ৪: কৃষিজ উৎপাদন","লাউ চাষপদ্ধতি","জাত, বীজ বপন, বাটনি তৈরি, পরিচর্যা","লাউ চাষপদ্ধতি (জাত, বীজ বপন, বাটনি তৈরি, পরিচর্যা)"
"9-10","agriculture","অধ্যায় ৪: কৃষিজ উৎপাদন","মিষ্টি কুমড়া চাষপদ্ধতি","","মিষ্টি কুমড়া চাষপদ্ধতি"
"9-10","agriculture","অধ্যায় ৪: কৃষিজ উৎপাদন","গোলাপ ও বেলি ফুল চাষপদ্ধতি","","গোলাপ ও বেলি ফুল চাষপদ্ধতি"
"9-10","agriculture","অধ্যায় ৪: কৃষিজ উৎপাদন","কলা চাষপদ্ধতি","চারা নির্বাচন, রোপণ, রোগ প্রতিকার","কলা চাষপদ্ধতি (চারা নির্বাচন, রোপণ, রোগ প্রতিকার)"
"9-10","agriculture","অধ্যায় ৪: কৃষিজ উৎপাদন","আনারস চাষপদ্ধতি","","আনারস চাষপদ্ধতি"
"9-10","agriculture","অধ্যায় ৪: কৃষিজ উৎপাদন","মাছ চাষপদ্ধতি","পুকুর নির্বাচন, পোনা মজুদ, খাদ্য ব্যবস্থাপনা","মাছ চাষপদ্ধতি (পুকুর নির্বাচন, পোনা মজুদ, খাদ্য ব্যবস্থাপনা)"
"9-10","agriculture","অধ্যায় ৪: কৃষিজ উৎপাদন","সমন্বিত মাছ চাষপদ্ধতি","","সমন্বিত মাছ চাষপদ্ধতি"
"9-10","agriculture","অধ্যায় ৪: কৃষিজ উৎপাদন","গৃহপালিত পশুর আবাসন ও বাছুর পরিচর্যা","","গৃহপালিত পশুর আবাসন ও বাছুর পরিচর্যা"
"9-10","agriculture","অধ্যায় ৪: কৃষিজ উৎপাদন","হাঁস পালন পদ্ধতি","উন্মুক্ত ও আবদ্ধ পদ্ধতি","হাঁস পালন পদ্ধতি (উন্মুক্ত ও আবদ্ধ পদ্ধতি)"
"9-10","agriculture","অধ্যায় ৪: কৃষিজ উৎপাদন","কৃষি উপকরণ ও ঔষধি উদ্ভিদ","বেত, অর্জুন, হরিতকী, আমলকী, বহেড়া","কৃষি উপকরণ ও ঔষধি উদ্ভিদ (বেত, অর্জুন, হরিতকী, আমলকী, বহেড়া)"
"9-10","agriculture","অধ্যায় ৪: কৃষিজ উৎপাদন","নারিকেলের ছোবড়া ও কৃষি দ্রব্যাদির শিল্পে ব্যবহার","","নারিকেলের ছোবড়া ও কৃষি দ্রব্যাদির শিল্পে ব্যবহার"
"9-10","agriculture","অধ্যায় ৫: বনায়ন","বাংলাদেশের বনাঞ্চলের ধরন","পাহাড়ি, সমতলভূমির, ম্যানগ্রোভ, গ্রামীণ, সামাজিক, কৃষি বন","বাংলাদেশের বনাঞ্চলের ধরন (পাহাড়ি, সমতলভূমির, ম্যানগ্রোভ, গ্রামীণ, সামাজিক, কৃষি বন)"
"9-10","agriculture","অধ্যায় ৫: বনায়ন","সামাজিক বনায়নের প্রয়োজনীয়তা","","সামাজিক বনায়নের প্রয়োজনীয়তা"
"9-10","agriculture","অধ্যায় ৫: বনায়ন","কৃষি বনায়নের বৈশিষ্ট্য, পদ্ধতি ও প্রকার","","কৃষি বনায়নের বৈশিষ্ট্য, পদ্ধতি ও প্রকার"
"9-10","agriculture","অধ্যায় ৫: বনায়ন","বন সংরক্ষণ বিধি ও বনবিধির বর্ণনা","","বন সংরক্ষণ বিধি ও বনবিধির বর্ণনা"
"9-10","agriculture","অধ্যায় ৫: বনায়ন","বন্যপ্রাণী সংরক্ষণ বিধি","","বন্যপ্রাণী সংরক্ষণ বিধি"
"9-10","agriculture","অধ্যায় ৫: বনায়ন","বন নার্সারির প্রয়োজনীয়তা ও ধরন","","বন নার্সারির প্রয়োজনীয়তা ও ধরন"
"9-10","agriculture","অধ্যায় ৫: বনায়ন","বন নার্সারির বীজ","সংগ্রহ, সংরক্ষণ, মাতৃগাছ নির্বাচন","বন নার্সারির বীজ (সংগ্রহ, সংরক্ষণ, মাতৃগাছ নির্বাচন)"
"9-10","agriculture","অধ্যায় ৫: বনায়ন","স্থায়ী বন নার্সারি তৈরির কৌশল","","স্থায়ী বন নার্সারি তৈরির কৌশল"
"9-10","agriculture","অধ্যায় ৫: বনায়ন","বৃক্ষ কর্তনের আবর্তনকাল ও নিয়মাবলি","","বৃক্ষ কর্তনের আবর্তনকাল ও নিয়মাবলি"
"9-10","agriculture","অধ্যায় ৫: বনায়ন","গোলকাঠ ও চেরাই কাঠের পরিমাপ পদ্ধতি","","গোলকাঠ ও চেরাই কাঠের পরিমাপ পদ্ধতি"
"9-10","agriculture","অধ্যায় ৫: বনায়ন","কাঠ সিজনিং, ট্রিটমেন্ট ও সংরক্ষণ","","কাঠ সিজনিং, ট্রিটমেন্ট ও সংরক্ষণ"
"9-10","agriculture","অধ্যায় ৫: বনায়ন","উপকূলীয় বনায়নের ধারণা ও গাছের বৈশিষ্ট্য","","উপকূলীয় বনায়নের ধারণা ও গাছের বৈশিষ্ট্য"
"9-10","agriculture","অধ্যায় ৫: বনায়ন","উপকূলীয় বনায়নের উপযোগিতা","পরিবেশগত, নান্দনিক, অর্থনৈতিক","উপকূলীয় বনায়নের উপযোগিতা (পরিবেশগত, নান্দনিক, অর্থনৈতিক)"
"9-10","agriculture","অধ্যায় ৬: কৃষি সমবায়","কৃষি সমবায়ের ধারণা ও গুরুত্ব","","কৃষি সমবায়ের ধারণা ও গুরুত্ব"
"9-10","agriculture","অধ্যায় ৬: কৃষি সমবায়","সমবায়ের প্রকারভেদ","মূলধন, উপকরণ, উৎপাদন, পণ্য বাজারজাতকরণ","সমবায়ের প্রকারভেদ (মূলধন, উপকরণ, উৎপাদন, পণ্য বাজারজাতকরণ)"
"9-10","agriculture","অধ্যায় ৬: কৃষি সমবায়","কৃষি সমবায়ের মাধ্যমে কৃষি জমি ও পানি ব্যবস্থাপনা","","কৃষি সমবায়ের মাধ্যমে কৃষি জমি ও পানি ব্যবস্থাপনা"
"9-10","agriculture","অধ্যায় ৬: কৃষি সমবায়","কৃষি যন্ত্রপাতি সংগ্রহ ও ব্যবহার","","কৃষি যন্ত্রপাতি সংগ্রহ ও ব্যবহার"
"9-10","agriculture","অধ্যায় ৬: কৃষি সমবায়","সার, ওষুধ, বীজ, খাদ্য উপকরণ সংগ্রহ ও উৎপাদন","","সার, ওষুধ, বীজ, খাদ্য উপকরণ সংগ্রহ ও উৎপাদন"
"9-10","agriculture","অধ্যায় ৬: কৃষি সমবায়","কৃষি ঋণ ব্যবস্থাপনা","","কৃষি ঋণ ব্যবস্থাপনা"
"9-10","agriculture","অধ্যায় ৬: কৃষি সমবায়","কৃষি পণ্য উৎপাদন ও সংরক্ষণ","","কৃষি পণ্য উৎপাদন ও সংরক্ষণ"
"9-10","agriculture","অধ্যায় ৬: কৃষি সমবায়","কৃষি পণ্য বিক্রয় ও বাজারজাতকরণ","","কৃষি পণ্য বিক্রয় ও বাজারজাতকরণ"
"9-10","agriculture","অধ্যায় ৬: কৃষি সমবায়","সমবায় সংগঠনের প্রয়োজনীয়তা","","সমবায় সংগঠনের প্রয়োজনীয়তা"
"9-10","agriculture","অধ্যায় ৭: পারিবারিক খামার","পারিবারিক কৃষি খামারের ধারণা ও গুরুত্ব","","পারিবারিক কৃষি খামারের ধারণা ও গুরুত্ব"
"9-10","agriculture","অধ্যায় ৭: পারিবারিক খামার","পারিবারিক শাকসবজি খামার","","পারিবারিক শাকসবজি খামার"
"9-10","agriculture","অধ্যায় ৭: পারিবারিক খামার","পারিবারিক পোল্ট্রি খামার ও স্বাস্থ্য ব্যবস্থাপনা","","পারিবারিক পোল্ট্রি খামার ও স্বাস্থ্য ব্যবস্থাপনা"
"9-10","agriculture","অধ্যায় ৭: পারিবারিক খামার","পারিবারিক গবাদি পশুর খামার ও স্বাস্থ্য ব্যবস্থাপনা","","পারিবারিক গবাদি পশুর খামার ও স্বাস্থ্য ব্যবস্থাপনা"
"9-10","agriculture","অধ্যায় ৭: পারিবারিক খামার","পারিবারিক মৎস্য খামারের ধারণা ও গুরুত্ব","","পারিবারিক মৎস্য খামারের ধারণা ও গুরুত্ব"
"9-10","agriculture","অধ্যায় ৭: পারিবারিক খামার","খামারে চাষ উপযোগী মাছ","দেশি ও বিদেশি","খামারে চাষ উপযোগী মাছ (দেশি ও বিদেশি)"
"9-10","agriculture","অধ্যায় ৭: পারিবারিক খামার","খামার পরিচালনার ধাপ ও উপকরণ","","খামার পরিচালনার ধাপ ও উপকরণ"
"9-10","agriculture","অধ্যায় ৭: পারিবারিক খামার","মাছের স্বাস্থ্য ব্যবস্থাপনা ও পুকুরের সমস্যা","","মাছের স্বাস্থ্য ব্যবস্থাপনা ও পুকুরের সমস্যা"
"9-10","agriculture","অধ্যায় ৭: পারিবারিক খামার","পারিবারিক দুগ্ধ খামারের ধারণা","","পারিবারিক দুগ্ধ খামারের ধারণা"
"9-10","agriculture","অধ্যায় ৭: পারিবারিক খামার","দুগ্ধ খামারের প্রয়োজনীয় উপকরণ","","দুগ্ধ খামারের প্রয়োজনীয় উপকরণ"
"9-10","agriculture","অধ্যায় ৭: পারিবারিক খামার","দুগ্ধ দোহনের ধাপ ও পদ্ধতি","সনাতন ও আধুনিক","দুগ্ধ দোহনের ধাপ ও পদ্ধতি (সনাতন ও আধুনিক)"
"9-10","agriculture","অধ্যায় ৭: পারিবারিক খামার","দুগ্ধ সংরক্ষণের সনাতন ও আধুনিক পদ্ধতি","","দুগ্ধ সংরক্ষণের সনাতন ও আধুনিক পদ্ধতি"
